AFORE,SIEFORE,Fecha,IRN,Ranking
  XXI-Banorte,SB 55-59,jul-21,6.61,6
  Azteca,SB 55-59,ago-21,6.57,5
  Citibanamex,SB 55-59,ago-21,6.28,9
  Coppel,SB 55-59,ago-21,6.37,7
  Inbursa,SB 55-59,ago-21,6.74,4
  Invercap,SB 55-59,ago-21,6.19,10
  PensionISSSTE,SB 55-59,ago-21,6.94,2
  Principal,SB 55-59,ago-21,6.29,8
  Profuturo,SB 55-59,ago-21,6.92,3
  SURA,SB 55-59,ago-21,7.10,1
  XXI-Banorte,SB 55-59,ago-21,6.47,6
  Azteca,SB 55-59,sep-21,6.50,5
  Citibanamex,SB 55-59,sep-21,6.15,9
  Coppel,SB 55-59,sep-21,6.27,7
  Inbursa,SB 55-59,sep-21,6.71,4
  Invercap,SB 55-59,sep-21,6.10,10
  PensionISSSTE,SB 55-59,sep-21,6.87,2
  Principal,SB 55-59,sep-21,6.21,8
  Profuturo,SB 55-59,sep-21,6.81,3
  SURA,SB 55-59,sep-21,6.97,1
  XXI-Banorte,SB 55-59,sep-21,6.40,6
  Azteca,SB 55-59,oct-21,6.46,5
  Citibanamex,SB 55-59,oct-21,6.12,9
  Coppel,SB 55-59,oct-21,6.22,7
  Inbursa,SB 55-59,oct-21,6.73,4
  Invercap,SB 55-59,oct-21,6.06,10
  PensionISSSTE,SB 55-59,oct-21,6.86,2
  Principal,SB 55-59,oct-21,6.18,8
  Profuturo,SB 55-59,oct-21,6.77,3
  SURA,SB 55-59,oct-21,6.88,1
  XXI-Banorte,SB 55-59,oct-21,6.38,6
  Azteca,SB 55-59,nov-21,6.49,5
  Citibanamex,SB 55-59,nov-21,6.17,9
  Coppel,SB 55-59,nov-21,6.22,7
  Inbursa,SB 55-59,nov-21,6.76,4
  Invercap,SB 55-59,nov-21,6.05,10
  PensionISSSTE,SB 55-59,nov-21,6.89,1
  Principal,SB 55-59,nov-21,6.21,8
  Profuturo,SB 55-59,nov-21,6.79,3
  SURA,SB 55-59,nov-21,6.86,2
  XXI-Banorte,SB 55-59,nov-21,6.43,6
  Azteca,SB 55-59,dic-21,6.51,5
  Citibanamex,SB 55-59,dic-21,6.20,9
  Coppel,SB 55-59,dic-21,6.21,8
  Inbursa,SB 55-59,dic-21,6.79,3
  Invercap,SB 55-59,dic-21,6.04,10
  PensionISSSTE,SB 55-59,dic-21,6.94,1
  Principal,SB 55-59,dic-21,6.24,7
  Profuturo,SB 55-59,dic-21,6.78,4
  SURA,SB 55-59,dic-21,6.84,2
  XXI-Banorte,SB 55-59,dic-21,6.48,6
  Azteca,SB 60-64,ene-21,6.71,6
  Citibanamex,SB 60-64,ene-21,6.70,7
  Coppel,SB 60-64,ene-21,7.17,3
  Inbursa,SB 60-64,ene-21,6.37,9
  Invercap,SB 60-64,ene-21,5.71,10
  PensionISSSTE,SB 60-64,ene-21,6.75,5
  Principal,SB 60-64,ene-21,6.63,8
  Profuturo,SB 60-64,ene-21,7.60,1
  SURA,SB 60-64,ene-21,7.19,2
  XXI-Banorte,SB 60-64,ene-21,6.90,4
  Azteca,SB 60-64,feb-21,6.84,6
  Citibanamex,SB 60-64,feb-21,6.84,5
  Coppel,SB 60-64,feb-21,7.29,3
  Inbursa,SB 60-64,feb-21,6.39,9
  Invercap,SB 60-64,feb-21,5.86,10
  PensionISSSTE,SB 60-64,feb-21,6.82,7
  Principal,SB 60-64,feb-21,6.79,8
  Profuturo,SB 60-64,feb-21,7.77,1
  SURA,SB 60-64,feb-21,7.43,2
  XXI-Banorte,SB 60-64,feb-21,7.04,4
  Azteca,SB 60-64,mar-21,6.98,5
  Citibanamex,SB 60-64,mar-21,6.90,8
  Coppel,SB 60-64,mar-21,7.41,3
  Inbursa,SB 60-64,mar-21,6.43,9
  Invercap,SB 60-64,mar-21,6.00,10
  PensionISSSTE,SB 60-64,mar-21,6.92,7
  Principal,SB 60-64,mar-21,6.93,6
  Profuturo,SB 60-64,mar-21,7.91,1
  SURA,SB 60-64,mar-21,7.63,2
  XXI-Banorte,SB 60-64,mar-21,7.14,4
  Azteca,SB 60-64,abr-21,7.10,5
  Citibanamex,SB 60-64,abr-21,6.92,8
  Coppel,SB 60-64,abr-21,7.49,3
  Inbursa,SB 60-64,abr-21,6.46,9
  Invercap,SB 60-64,abr-21,6.10,10
  PensionISSSTE,SB 60-64,abr-21,6.98,7
  Principal,SB 60-64,abr-21,7.04,6
  Profuturo,SB 60-64,abr-21,8.04,1
  SURA,SB 60-64,abr-21,7.81,2
  XXI-Banorte,SB 60-64,abr-21,7.24,4
  Azteca,SB 60-64,may-21,7.17,5
  Citibanamex,SB 60-64,may-21,6.91,8
  Coppel,SB 60-64,may-21,7.52,3
  Inbursa,SB 60-64,may-21,6.51,9
  Invercap,SB 60-64,may-21,6.18,10
  PensionISSSTE,SB 60-64,may-21,7.03,7
  Principal,SB 60-64,may-21,7.12,6
  Profuturo,SB 60-64,may-21,8.12,1
  SURA,SB 60-64,may-21,7.94,2
  XXI-Banorte,SB 60-64,may-21,7.32,4
  Azteca,SB 60-64,jun-21,7.18,5
  Citibanamex,SB 60-64,jun-21,6.84,8
  Coppel,SB 60-64,jun-21,7.52,3
  Inbursa,SB 60-64,jun-21,6.55,9
  Invercap,SB 60-64,jun-21,6.21,10
  PensionISSSTE,SB 60-64,jun-21,7.05,7
  Principal,SB 60-64,jun-21,7.15,6
  Profuturo,SB 60-64,jun-21,8.17,1
  SURA,SB 60-64,jun-21,8.00,2
  XXI-Banorte,SB 60-64,jun-21,7.36,4
  Azteca,SB 60-64,jul-21,7.10,5
  Citibanamex,SB 60-64,jul-21,6.68,8
  Coppel,SB 60-64,jul-21,7.40,3
  Inbursa,SB 60-64,jul-21,6.54,9
  Invercap,SB 60-64,jul-21,6.14,10
  PensionISSSTE,SB 60-64,jul-21,6.99,7
  Principal,SB 60-64,jul-21,7.10,6
  Profuturo,SB 60-64,jul-21,8.11,1
  SURA,SB 60-64,jul-21,7.92,2
  XXI-Banorte,SB 60-64,jul-21,7.31,4
  Azteca,SB 60-64,ago-21,6.98,6
  Citibanamex,SB 60-64,ago-21,6.46,9
  Coppel,SB 60-64,ago-21,7.22,3
  Inbursa,SB 60-64,ago-21,6.53,8
  Invercap,SB 60-64,ago-21,6.00,10
  PensionISSSTE,SB 60-64,ago-21,6.91,7
  Principal,SB 60-64,ago-21,6.98,5
  Profuturo,SB 60-64,ago-21,7.98,1
  SURA,SB 60-64,ago-21,7.78,2
  XXI-Banorte,SB 60-64,ago-21,7.21,4
  Azteca,SB 60-64,sep-21,6.89,6
  Citibanamex,SB 60-64,sep-21,6.34,9
  Coppel,SB 60-64,sep-21,7.08,4
  Inbursa,SB 60-64,sep-21,6.52,8
  Invercap,SB 60-64,sep-21,5.90,10
  PensionISSSTE,SB 60-64,sep-21,6.86,7
  Principal,SB 60-64,sep-21,6.92,5
  Profuturo,SB 60-64,sep-21,7.92,1
  SURA,SB 60-64,sep-21,7.70,2
  XXI-Banorte,SB 60-64,sep-21,7.17,3
  Azteca,SB 60-64,oct-21,6.87,6
  Citibanamex,SB 60-64,oct-21,6.32,9
  Coppel,SB 60-64,oct-21,7.01,4
  Inbursa,SB 60-64,oct-21,6.55,8
  Invercap,SB 60-64,oct-21,5.87,10
  PensionISSSTE,SB 60-64,oct-21,6.86,7
  Principal,SB 60-64,oct-21,6.92,5
  Profuturo,SB 60-64,oct-21,7.93,1
  SURA,SB 60-64,oct-21,7.66,2
  XXI-Banorte,SB 60-64,oct-21,7.18,3
  Azteca,SB 60-64,nov-21,6.93,7
  Citibanamex,SB 60-64,nov-21,6.40,9
  Coppel,SB 60-64,nov-21,7.02,5
  Inbursa,SB 60-64,nov-21,6.58,8
  Invercap,SB 60-64,nov-21,5.94,10
  PensionISSSTE,SB 60-64,nov-21,6.97,6
  Principal,SB 60-64,nov-21,7.02,4
  Profuturo,SB 60-64,nov-21,8.03,1
  SURA,SB 60-64,nov-21,7.72,2
  XXI-Banorte,SB 60-64,nov-21,7.28,3
  Azteca,SB 60-64,dic-21,6.99,6
  Citibanamex,SB 60-64,dic-21,6.48,9
  Coppel,SB 60-64,dic-21,6.99,7
  Inbursa,SB 60-64,dic-21,6.61,8
  Invercap,SB 60-64,dic-21,6.01,10
  PensionISSSTE,SB 60-64,dic-21,7.12,5
  Principal,SB 60-64,dic-21,7.13,4
  Profuturo,SB 60-64,dic-21,8.11,1
  SURA,SB 60-64,dic-21,7.78,2
  XXI-Banorte,SB 60-64,dic-21,7.38,3
  Azteca,SB 65-69,ene-21,6.64,8
  Citibanamex,SB 65-69,ene-21,6.86,5
  Coppel,SB 65-69,ene-21,7.10,2
  Inbursa,SB 65-69,ene-21,6.34,9
  Invercap,SB 65-69,ene-21,5.62,10
  PensionISSSTE,SB 65-69,ene-21,6.76,7
  Principal,SB 65-69,ene-21,6.76,6
  Profuturo,SB 65-69,ene-21,7.50,1
  SURA,SB 65-69,ene-21,7.09,3
  XXI-Banorte,SB 65-69,ene-21,6.94,4
  Azteca,SB 65-69,feb-21,6.78,8
  Citibanamex,SB 65-69,feb-21,7.06,5
  Coppel,SB 65-69,feb-21,7.22,3
  Inbursa,SB 65-69,feb-21,6.39,9
  Invercap,SB 65-69,feb-21,5.78,10
  PensionISSSTE,SB 65-69,feb-21,6.84,7
  Principal,SB 65-69,feb-21,6.94,6
  Profuturo,SB 65-69,feb-21,7.66,1
  SURA,SB 65-69,feb-21,7.34,2
  XXI-Banorte,SB 65-69,feb-21,7.09,4
  Azteca,SB 65-69,mar-21,6.92,8
  Citibanamex,SB 65-69,mar-21,7.21,5
  Coppel,SB 65-69,mar-21,7.35,3
  Inbursa,SB 65-69,mar-21,6.47,9
  Invercap,SB 65-69,mar-21,5.92,10
  PensionISSSTE,SB 65-69,mar-21,6.95,7
  Principal,SB 65-69,mar-21,7.11,6
  Profuturo,SB 65-69,mar-21,7.80,1
  SURA,SB 65-69,mar-21,7.55,2
  XXI-Banorte,SB 65-69,mar-21,7.23,4
  Azteca,SB 65-69,abr-21,7.05,7
  Citibanamex,SB 65-69,abr-21,7.33,5
  Coppel,SB 65-69,abr-21,7.42,3
  Inbursa,SB 65-69,abr-21,6.52,9
  Invercap,SB 65-69,abr-21,6.04,10
  PensionISSSTE,SB 65-69,abr-21,7.03,8
  Principal,SB 65-69,abr-21,7.26,6
  Profuturo,SB 65-69,abr-21,7.93,1
  SURA,SB 65-69,abr-21,7.74,2
  XXI-Banorte,SB 65-69,abr-21,7.36,4
  Azteca,SB 65-69,may-21,7.12,7
  Citibanamex,SB 65-69,may-21,7.41,5
  Coppel,SB 65-69,may-21,7.45,4
  Inbursa,SB 65-69,may-21,6.57,9
  Invercap,SB 65-69,may-21,6.12,10
  PensionISSSTE,SB 65-69,may-21,7.09,8
  Principal,SB 65-69,may-21,7.37,6
  Profuturo,SB 65-69,may-21,8.02,1
  SURA,SB 65-69,may-21,7.88,2
  XXI-Banorte,SB 65-69,may-21,7.45,3
  Azteca,SB 65-69,jun-21,7.14,7
  Citibanamex,SB 65-69,jun-21,7.42,6
  Coppel,SB 65-69,jun-21,7.45,4
  Inbursa,SB 65-69,jun-21,6.60,9
  Invercap,SB 65-69,jun-21,6.14,10
  PensionISSSTE,SB 65-69,jun-21,7.12,8
  Principal,SB 65-69,jun-21,7.44,5
  Profuturo,SB 65-69,jun-21,8.06,1
  SURA,SB 65-69,jun-21,7.95,2
  XXI-Banorte,SB 65-69,jun-21,7.51,3
  Azteca,SB 65-69,jul-21,7.05,8
  Citibanamex,SB 65-69,jul-21,7.33,6
  Coppel,SB 65-69,jul-21,7.33,5
  Inbursa,SB 65-69,jul-21,6.58,9
  Invercap,SB 65-69,jul-21,6.07,10
  PensionISSSTE,SB 65-69,jul-21,7.07,7
  Principal,SB 65-69,jul-21,7.40,4
  Profuturo,SB 65-69,jul-21,8.01,1
  SURA,SB 65-69,jul-21,7.89,2
  XXI-Banorte,SB 65-69,jul-21,7.48,3
  Azteca,SB 65-69,ago-21,6.92,8
  Citibanamex,SB 65-69,ago-21,7.17,5
  Coppel,SB 65-69,ago-21,7.15,6
  Inbursa,SB 65-69,ago-21,6.55,9
  Invercap,SB 65-69,ago-21,5.94,10
  PensionISSSTE,SB 65-69,ago-21,6.98,7
  Principal,SB 65-69,ago-21,7.30,4
  Profuturo,SB 65-69,ago-21,7.88,1
  SURA,SB 65-69,ago-21,7.76,2
  XXI-Banorte,SB 65-69,ago-21,7.39,3
  Azteca,SB 65-69,sep-21,6.84,8
  Citibanamex,SB 65-69,sep-21,7.09,5
  Coppel,SB 65-69,sep-21,7.00,6
  Inbursa,SB 65-69,sep-21,6.51,9
  Invercap,SB 65-69,sep-21,5.85,10
  PensionISSSTE,SB 65-69,sep-21,6.92,7
  Principal,SB 65-69,sep-21,7.25,4
  Profuturo,SB 65-69,sep-21,7.83,1
  SURA,SB 65-69,sep-21,7.69,2
  XXI-Banorte,SB 65-69,sep-21,7.36,3
  Azteca,SB 65-69,oct-21,6.82,8
  Citibanamex,SB 65-69,oct-21,7.07,5
  Coppel,SB 65-69,oct-21,6.92,7
  Inbursa,SB 65-69,oct-21,6.52,9
  Invercap,SB 65-69,oct-21,5.83,10
  PensionISSSTE,SB 65-69,oct-21,6.93,6
  Principal,SB 65-69,oct-21,7.26,4
  Profuturo,SB 65-69,oct-21,7.85,1
  SURA,SB 65-69,oct-21,7.67,2
  XXI-Banorte,SB 65-69,oct-21,7.37,3
  Azteca,SB 65-69,nov-21,6.89,8
  Citibanamex,SB 65-69,nov-21,7.16,5
  Coppel,SB 65-69,nov-21,6.92,7
  Inbursa,SB 65-69,nov-21,6.54,9
  Invercap,SB 65-69,nov-21,5.91,10
  PensionISSSTE,SB 65-69,nov-21,7.02,6
  Principal,SB 65-69,nov-21,7.37,4
  Profuturo,SB 65-69,nov-21,7.96,1
  SURA,SB 65-69,nov-21,7.74,2
  XXI-Banorte,SB 65-69,nov-21,7.48,3
  Azteca,SB 65-69,dic-21,6.95,7
  Citibanamex,SB 65-69,dic-21,7.25,5
  Coppel,SB 65-69,dic-21,6.88,8
  Inbursa,SB 65-69,dic-21,6.55,9
  Invercap,SB 65-69,dic-21,6.00,10
  PensionISSSTE,SB 65-69,dic-21,7.15,6
  Principal,SB 65-69,dic-21,7.48,4
  Profuturo,SB 65-69,dic-21,8.05,1
  SURA,SB 65-69,dic-21,7.80,2
  XXI-Banorte,SB 65-69,dic-21,7.59,3
  Azteca,SB 70-74,ene-21,6.67,8
  Citibanamex,SB 70-74,ene-21,7.04,4
  Coppel,SB 70-74,ene-21,7.16,3
  Inbursa,SB 70-74,ene-21,6.49,9
  Invercap,SB 70-74,ene-21,5.74,10
  PensionISSSTE,SB 70-74,ene-21,6.75,7
  Principal,SB 70-74,ene-21,6.80,6
  Profuturo,SB 70-74,ene-21,7.65,1
  SURA,SB 70-74,ene-21,7.24,2
  XXI-Banorte,SB 70-74,ene-21,6.94,5
  Azteca,SB 70-74,feb-21,6.81,8
  Citibanamex,SB 70-74,feb-21,7.30,3
  Coppel,SB 70-74,feb-21,7.30,4
  Inbursa,SB 70-74,feb-21,6.57,9
  Invercap,SB 70-74,feb-21,5.93,10
  PensionISSSTE,SB 70-74,feb-21,6.86,7
  Principal,SB 70-74,feb-21,7.00,6
  Profuturo,SB 70-74,feb-21,7.83,1
  SURA,SB 70-74,feb-21,7.51,2
  XXI-Banorte,SB 70-74,feb-21,7.11,5
  Azteca,SB 70-74,mar-21,6.97,8
  Citibanamex,SB 70-74,mar-21,7.54,3
  Coppel,SB 70-74,mar-21,7.44,4
  Inbursa,SB 70-74,mar-21,6.67,9
  Invercap,SB 70-74,mar-21,6.10,10
  PensionISSSTE,SB 70-74,mar-21,6.98,7
  Principal,SB 70-74,mar-21,7.21,6
  Profuturo,SB 70-74,mar-21,7.98,1
  SURA,SB 70-74,mar-21,7.75,2
  XXI-Banorte,SB 70-74,mar-21,7.27,5
  Azteca,SB 70-74,abr-21,7.10,7
  Citibanamex,SB 70-74,abr-21,7.77,3
  Coppel,SB 70-74,abr-21,7.54,4
  Inbursa,SB 70-74,abr-21,6.74,9
  Invercap,SB 70-74,abr-21,6.26,10
  PensionISSSTE,SB 70-74,abr-21,7.06,8
  Principal,SB 70-74,abr-21,7.39,6
  Profuturo,SB 70-74,abr-21,8.13,1
  SURA,SB 70-74,abr-21,7.97,2
  XXI-Banorte,SB 70-74,abr-21,7.42,5
  Azteca,SB 70-74,may-21,7.18,7
  Citibanamex,SB 70-74,may-21,7.94,3
  Coppel,SB 70-74,may-21,7.59,4
  Inbursa,SB 70-74,may-21,6.80,9
  Invercap,SB 70-74,may-21,6.36,10
  PensionISSSTE,SB 70-74,may-21,7.12,8
  Principal,SB 70-74,may-21,7.53,6
  Profuturo,SB 70-74,may-21,8.23,1
  SURA,SB 70-74,may-21,8.14,2
  XXI-Banorte,SB 70-74,may-21,7.54,5
  Azteca,SB 70-74,jun-21,7.19,7
  Citibanamex,SB 70-74,jun-21,8.03,3
  Coppel,SB 70-74,jun-21,7.61,6
  Inbursa,SB 70-74,jun-21,6.83,9
  Invercap,SB 70-74,jun-21,6.40,10
  PensionISSSTE,SB 70-74,jun-21,7.15,8
  Principal,SB 70-74,jun-21,7.61,5
  Profuturo,SB 70-74,jun-21,8.29,1
  SURA,SB 70-74,jun-21,8.22,2
  XXI-Banorte,SB 70-74,jun-21,7.61,4
  Azteca,SB 70-74,jul-21,7.10,7
  Citibanamex,SB 70-74,jul-21,8.01,3
  Coppel,SB 70-74,jul-21,7.50,6
  Inbursa,SB 70-74,jul-21,6.79,9
  Invercap,SB 70-74,jul-21,6.33,10
  PensionISSSTE,SB 70-74,jul-21,7.09,8
  Principal,SB 70-74,jul-21,7.59,5
  Profuturo,SB 70-74,jul-21,8.25,1
  SURA,SB 70-74,jul-21,8.17,2
  XXI-Banorte,SB 70-74,jul-21,7.59,4
  Azteca,SB 70-74,ago-21,6.97,8
  Citibanamex,SB 70-74,ago-21,7.91,3
  Coppel,SB 70-74,ago-21,7.33,6
  Inbursa,SB 70-74,ago-21,6.76,9
  Invercap,SB 70-74,ago-21,6.20,10
  PensionISSSTE,SB 70-74,ago-21,6.99,7
  Principal,SB 70-74,ago-21,7.49,5
  Profuturo,SB 70-74,ago-21,8.14,1
  SURA,SB 70-74,ago-21,8.05,2
  XXI-Banorte,SB 70-74,ago-21,7.52,4
  Azteca,SB 70-74,sep-21,6.88,8
  Citibanamex,SB 70-74,sep-21,7.86,3
  Coppel,SB 70-74,sep-21,7.20,6
  Inbursa,SB 70-74,sep-21,6.72,9
  Invercap,SB 70-74,sep-21,6.12,10
  PensionISSSTE,SB 70-74,sep-21,6.93,7
  Principal,SB 70-74,sep-21,7.46,5
  Profuturo,SB 70-74,sep-21,8.11,1
  SURA,SB 70-74,sep-21,7.99,2
